epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
175,2835.38,0.35242,0.22669,0.89313,0.99971,1,0.995,0.97502,0.24787,0.16236,0.8333,0.000241726,0.000241726,0.000241726
176,2850.14,0.35181,0.22618,0.89481,0.99967,1,0.995,0.97353,0.26063,0.16308,0.83931,0.00024038,0.00024038,0.00024038
177,2865.57,0.35642,0.22797,0.90307,0.99969,1,0.995,0.97861,0.24733,0.16151,0.83246,0.000239034,0.000239034,0.000239034
178,2882.08,0.35443,0.21752,0.89345,0.99972,1,0.995,0.97583,0.2622,0.15952,0.84096,0.000237687,0.000237687,0.000237687
179,2897.97,0.34677,0.22064,0.89112,0.99967,1,0.995,0.97861,0.2417,0.15626,0.83165,0.000236341,0.000236341,0.000236341
180,2914.2,0.34682,0.21704,0.88387,0.99966,1,0.995,0.97562,0.25702,0.16131,0.84069,0.000234994,0.000234994,0.000234994
181,2930.59,0.35434,0.22029,0.88584,0.99969,1,0.995,0.97707,0.26697,0.16284,0.84231,0.000233648,0.000233648,0.000233648
182,2946.34,0.3353,0.21471,0.88651,0.99969,1,0.995,0.97892,0.24898,0.15645,0.83298,0.000232302,0.000232302,0.000232302
183,2960.05,0.34107,0.22376,0.87763,0.99972,1,0.995,0.97683,0.25558,0.15717,0.83652,0.000230955,0.000230955,0.000230955
184,2974.65,0.35364,0.22373,0.87894,0.9997,1,0.995,0.98291,0.24774,0.15897,0.82863,0.000229609,0.000229609,0.000229609
185,2991.03,0.33656,0.21511,0.88687,0.99965,1,0.995,0.98316,0.23846,0.1599,0.82503,0.000228262,0.000228262,0.000228262
186,3007.2,0.32626,0.21524,0.87364,0.99948,1,0.995,0.98264,0.23771,0.16519,0.82346,0.000226916,0.000226916,0.000226916
187,3023.29,0.33499,0.21889,0.87538,0.99966,1,0.995,0.97639,0.24662,0.16166,0.83054,0.00022557,0.00022557,0.00022557
