               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 111,            0.023536,           0.0080084,           0.0029365,             0.01307,                 0.1,             0.01692,           0.0062801,            0.018134,           0.0040629,           0.0023884,            0.007822,            0.007822,            0.007822
                 112,            0.024113,           0.0077722,           0.0029293,            0.016618,             0.14667,            0.019712,           0.0061378,            0.017038,            0.004418,           0.0024575,           0.0078022,           0.0078022,           0.0078022
                 113,            0.023939,           0.0072015,            0.003068,            0.019981,                0.02,            0.014089,           0.0045205,            0.016523,           0.0040686,           0.0024749,           0.0077824,           0.0077824,           0.0077824
                 114,            0.023747,           0.0079797,           0.0029679,            0.017953,             0.14667,             0.01989,           0.0069758,            0.016854,           0.0039718,           0.0025276,           0.0077626,           0.0077626,           0.0077626
                 115,            0.022736,           0.0073195,           0.0033221,            0.019982,                0.02,            0.013969,           0.0062651,            0.020893,           0.0041039,           0.0024056,           0.0077428,           0.0077428,           0.0077428
                 116,            0.024795,           0.0082087,            0.002967,            0.012476,            0.086667,            0.015825,           0.0063063,            0.016675,           0.0038409,           0.0024012,            0.007723,            0.007723,            0.007723
                 117,             0.02499,            0.007538,           0.0030864,             0.01854,             0.14667,            0.011793,           0.0027227,            0.019382,           0.0041363,           0.0023616,           0.0077032,           0.0077032,           0.0077032
                 118,            0.024332,           0.0075059,           0.0032403,            0.013675,             0.10667,           0.0089626,           0.0024378,            0.017693,           0.0039768,           0.0023538,           0.0076834,           0.0076834,           0.0076834
                 119,            0.024076,            0.006796,            0.002877,            0.019995,                0.02,           0.0070482,           0.0016945,            0.017139,           0.0040472,           0.0023156,           0.0076636,           0.0076636,           0.0076636
                 120,            0.023992,            0.007862,           0.0028058,            0.022597,             0.11333,             0.01381,           0.0024089,            0.014914,           0.0037888,           0.0022908,           0.0076438,           0.0076438,           0.0076438
                 121,            0.023916,            0.007783,           0.0027271,             0.01396,            0.086667,           0.0084039,           0.0018701,            0.016204,           0.0039503,           0.0022685,            0.007624,            0.007624,            0.007624
                 122,            0.024904,           0.0076966,           0.0027909,             0.01999,                0.02,           0.0058594,            0.001408,            0.018781,           0.0041354,           0.0022365,           0.0076042,           0.0076042,           0.0076042
                 123,             0.02555,           0.0076655,           0.0026816,            0.019982,                0.02,           0.0062106,           0.0014514,            0.014035,            0.004086,            0.002226,           0.0075844,           0.0075844,           0.0075844
                 124,            0.023359,           0.0071902,           0.0028608,            0.019995,                0.02,            0.004371,           0.0010706,            0.020256,           0.0039295,            0.002226,           0.0075646,           0.0075646,           0.0075646
                 125,            0.023683,           0.0075487,           0.0028214,            0.019952,                0.02,           0.0078723,           0.0012656,             0.01697,           0.0038021,           0.0022646,           0.0075448,           0.0075448,           0.0075448
                 126,            0.022887,           0.0062695,           0.0027983,            0.015342,                 0.1,           0.0093705,           0.0017512,            0.013565,           0.0037316,           0.0022876,            0.007525,            0.007525,            0.007525
                 127,            0.024329,           0.0075653,           0.0027663,            0.023035,             0.11333,            0.013579,           0.0025906,            0.014731,           0.0037602,           0.0021502,           0.0075052,           0.0075052,           0.0075052
                 128,            0.023206,           0.0074583,           0.0026675,            0.025822,             0.10667,            0.015016,           0.0026799,             0.01986,           0.0040943,           0.0021042,           0.0074854,           0.0074854,           0.0074854
                 129,             0.02358,           0.0077789,           0.0026838,            0.032742,                0.14,            0.020938,           0.0031515,             0.01446,           0.0038677,           0.0021613,           0.0074656,           0.0074656,           0.0074656
                 130,            0.023191,           0.0078766,           0.0028266,            0.051334,             0.25333,            0.041096,           0.0066776,            0.016785,           0.0039945,           0.0022245,           0.0074458,           0.0074458,           0.0074458
                 131,            0.025181,           0.0077684,           0.0029712,            0.019999,                0.02,           0.0071519,            0.002025,            0.017243,           0.0041583,           0.0022538,            0.007426,            0.007426,            0.007426
                 132,            0.022503,           0.0070999,           0.0028375,            0.019993,                0.02,            0.012463,           0.0055163,            0.013851,           0.0039697,           0.0023423,           0.0074062,           0.0074062,           0.0074062
                 133,            0.020902,           0.0070299,           0.0027405,            0.019999,                0.02,            0.012409,            0.005638,            0.015374,           0.0037755,           0.0022187,           0.0073864,           0.0073864,           0.0073864
                 134,            0.021668,           0.0072992,           0.0025893,            0.019988,                0.02,            0.011485,           0.0046821,            0.014561,           0.0038602,           0.0021563,           0.0073666,           0.0073666,           0.0073666
                 135,            0.022515,           0.0074201,           0.0025753,            0.019981,                0.02,             0.01099,            0.005475,            0.014888,           0.0037472,           0.0020033,           0.0073468,           0.0073468,           0.0073468
                 136,            0.024902,           0.0079144,           0.0025226,            0.019981,                0.02,            0.012832,            0.005814,            0.013538,           0.0037747,           0.0019802,            0.007327,            0.007327,            0.007327
